gene	sample1	sample2
ENSG00000021355	53.07002725	32.780495
ENSG00000021461	0	0
ENSG00000021488	0.18535997	0.064162954
ENSG00000021574	5.303519846	5.512819117
ENSG00000021645	0.546614842	0.056982914
ENSG00000021762	3.174381764	4.890764572
ENSG00000021776	4.374455104	4.148535267
ENSG00000021826	0.073746433	0.722217405
ENSG00000021852	0.058798075	0.048847546
ENSG00000022267	9.086576318	19.08696338
ENSG00000022277	21.56316302	22.46356328
ENSG00000022355	0.143111347	0.002021978
ENSG00000022556	1.667380415	0.167167888
ENSG00000022567	2.783070419	3.137239971
ENSG00000022840	26.01400232	30.36816572
ENSG00000022976	2.195918781	1.456656684
ENSG00000023041	9.829670211	9.970603453
ENSG00000023171	1.2925484	0.457084536
ENSG00000023191	28.67780917	28.17560043
ENSG00000023228	7.562597136	7.077433909
ENSG00000023287	8.120980141	8.427475507
ENSG00000023318	10.99815092	17.37715468
ENSG00000023330	25.69510437	17.01355272
ENSG00000023445	19.57193029	3.713258692
ENSG00000023516	7.549058217	7.73132891
ENSG00000023572	2.84109222	2.257666636
ENSG00000023608	2.495103853	4.090494596
ENSG00000023697	16.3788758	16.20220768
ENSG00000023734	42.45548137	42.05346201
ENSG00000023839	0.144187373	0.058823591
ENSG00000023892	19.03452187	6.211294948
ENSG00000023902	11.05988214	3.441765344
ENSG00000023909	6.332542948	5.906901502
ENSG00000024048	7.757984341	8.195841832
ENSG00000024422	34.26390468	48.36254753
ENSG00000024526	0.608791129	0.060210006
ENSG00000024862	28.70603972	24.82697858
ENSG00000025039	9.142926821	14.21227389
ENSG00000025156	5.623818294	4.378539805
ENSG00000025293	6.566532442	5.641822605
ENSG00000025423	28.15817829	13.92015846
ENSG00000025434	13.04776895	2.293797995
ENSG00000025708	32.25489301	11.93468747
ENSG00000025770	13.44023492	13.41911205
ENSG00000025772	18.74626642	33.17539197
ENSG00000025796	18.8489518	21.7362468
ENSG00000025800	13.75922598	14.03444522
ENSG00000026025	349.2144941	286.9971953
ENSG00000026036	0.418017231	0.199277095
ENSG00000026103	18.3737082	12.45215732
ENSG00000026297	7.895981456	4.629249797
ENSG00000026508	59.86335121	53.69797961
ENSG00000026559	0.374809883	0.01430223
ENSG00000026652	0.810625576	0.216626249
ENSG00000026751	9.883907796	4.14193263
ENSG00000026950	19.12675632	8.495276867
ENSG00000027001	5.51036509	4.313727924
ENSG00000027075	6.176860961	4.823584252
ENSG00000027644	0.022019597	0
ENSG00000027697	58.97886053	41.89004008
ENSG00000027847	6.487440947	6.380708615
ENSG00000027869	2.459278654	1.304570099
ENSG00000028116	5.414208546	4.485919967
ENSG00000028137	29.53979862	17.22652071
ENSG00000028203	11.6171756	10.6419174
ENSG00000028277	4.138111193	0.677529946
ENSG00000028310	4.670303111	3.651077633
ENSG00000028528	43.59490047	51.6829299
ENSG00000028839	2.334136566	1.944416357
ENSG00000029153	2.518460583	0.909953136
ENSG00000029363	14.12848371	13.31806858
ENSG00000029364	10.03774111	9.218889316
ENSG00000029534	0.279345033	0.080237262
ENSG00000029559	0.498193886	0.064669285
ENSG00000029639	3.595100433	5.351362319
ENSG00000029725	12.38767502	10.41476835
ENSG00000029993	7.834910975	4.374051259
ENSG00000030066	6.120154948	6.729236914
ENSG00000030110	9.618891972	5.13754395
ENSG00000030304	0.015347676	0.010625295
ENSG00000030419	2.666466775	5.399177313
ENSG00000030582	189.4749352	80.91711618
ENSG00000031003	5.380876325	5.952512577
ENSG00000031081	7.166321825	7.341905697
ENSG00000031691	3.074016306	2.461487875
ENSG00000031698	37.11577462	50.87550854
ENSG00000031823	9.946577003	11.74587629
ENSG00000032219	5.319688271	4.111469042
ENSG00000032389	4.609576674	4.262680739
ENSG00000032444	19.14829622	12.28024245
ENSG00000032742	3.221802579	3.721093632
ENSG00000033011	4.168532445	3.869282991
ENSG00000033030	3.69297923	4.267087957
ENSG00000033050	12.38802742	14.04826812
ENSG00000033100	19.07202896	21.88990959
ENSG00000033122	0.162080755	0.039424979
ENSG00000033170	4.591070439	3.77697366
ENSG00000033178	4.147648224	2.764554106
ENSG00000033327	5.656740433	5.382926572
ENSG00000033627	8.737047805	9.544091092
ENSG00000033800	4.703906591	5.429636738
ENSG00000033867	2.910172093	2.264261884
ENSG00000034053	0.932064625	0.302421825
ENSG00000034152	15.85512249	15.05539018
ENSG00000034239	0.019349175	0.001913651
ENSG00000034510	2571.920623	1507.698724
ENSG00000034533	2.879570112	2.904416828
ENSG00000034677	12.42775424	7.360531361
ENSG00000034693	6.997555768	9.173964455
ENSG00000034713	28.63316269	38.36801251
ENSG00000034971	0.467210348	0.047722537
ENSG00000035115	4.935239228	9.17155586
ENSG00000035141	12.36467126	9.978432947
ENSG00000035403	21.66980116	20.62322252
ENSG00000035499	4.494227642	3.908200466
ENSG00000035664	24.84818714	50.61448946
ENSG00000035681	8.422520522	7.261678284
ENSG00000035687	25.31205337	23.95683206
ENSG00000035720	5.3906786	0.214791465
ENSG00000035862	49.57081496	49.59198245
ENSG00000035928	9.444022832	9.765039549
ENSG00000036054	6.945605701	7.828570655
ENSG00000036257	6.746151814	7.462798635
ENSG00000036448	0.299925136	0.06764034
ENSG00000036473	0.445440864	0.02803469
ENSG00000036530	0.125252098	0.03682326
ENSG00000036549	5.14797123	5.908303993
ENSG00000036565	0.164153399	0.014205558
ENSG00000036672	0.396022788	0.492035689
ENSG00000036828	0.002972581	0.002057937
ENSG00000037042	5.632306239	8.435754132
ENSG00000037241	10.4491959	9.629488637
ENSG00000037280	5.120869315	2.484785043
ENSG00000037474	11.22287065	8.441517165
ENSG00000037637	3.865041479	3.601934246
ENSG00000037749	3.174374588	2.98118686
ENSG00000037757	5.631884154	4.686502244
ENSG00000037897	4.787473444	5.230138358
ENSG00000037965	0.39923862	0.017642265
ENSG00000038002	17.89353359	15.29061794
ENSG00000038210	6.785552018	4.327390061
ENSG00000038219	4.964545791	4.201151252
ENSG00000038274	27.85395363	28.67406003
ENSG00000038295	0.403176417	0.254015464
ENSG00000038358	6.735002819	6.447859571
ENSG00000038382	5.013685675	2.528350603
ENSG00000038427	6.004670682	1.68979375
ENSG00000038532	6.085741774	7.01302932
ENSG00000038945	10.55971058	2.484252351
ENSG00000039068	154.7398115	106.6705786
ENSG00000039123	10.3159793	9.446993836
ENSG00000039139	0.303875591	0.186100996
ENSG00000039319	3.617734093	2.823468918
ENSG00000039523	9.28087555	9.350562889
ENSG00000039537	0.257331842	0.02578523
ENSG00000039560	11.67911287	3.591158314
ENSG00000039600	0.101703222	0.07681069
ENSG00000039650	9.476106715	8.50060568
ENSG00000039987	0.006064246	0.004198317
ENSG00000040199	1.664580901	1.428051402
ENSG00000040275	1.625761244	1.116223175
ENSG00000040341	4.0159569	3.760529062
ENSG00000040487	6.708731239	8.499059252
ENSG00000040531	8.825769333	6.329173741
ENSG00000040608	2.085642924	6.341200955
ENSG00000040633	16.71481811	21.07588185
ENSG00000040731	0.008768303	0
ENSG00000040933	5.802938422	3.620640825
ENSG00000041353	1.928023858	1.535075646
ENSG00000041357	14.70424133	9.963891012
ENSG00000041515	0.054015185	0.032569893
ENSG00000041802	7.813180509	8.630144562
ENSG00000041880	14.27589356	12.14450005
ENSG00000041982	27.52097917	3.387037767
ENSG00000041988	4.523772587	3.641988209
ENSG00000042062	2.379261329	0.046217116
ENSG00000042088	2.543342994	1.268398659
ENSG00000042286	5.302834098	5.183360381
ENSG00000042304	0	0
ENSG00000042317	1.531748044	1.857384928
ENSG00000042429	3.112979582	3.952457407
ENSG00000042445	21.99162677	27.21573441
ENSG00000042493	173.2315007	128.2001281
ENSG00000042753	31.63057299	20.85497573
ENSG00000042781	0.007042522	0.002166926
ENSG00000042813	0	0.050436986
ENSG00000042832	584.1523345	1661.057907
ENSG00000042980	2.930869323	0.405099177
ENSG00000043039	0.315658913	0.036422118
ENSG00000043093	3.326701718	3.187887897
ENSG00000043143	10.27872925	11.71158983
ENSG00000043355	0.03878186	0
ENSG00000043462	9.586839493	3.468799501
ENSG00000043514	6.477448126	6.032011566
ENSG00000043591	0.275588413	0.346539923
ENSG00000044012	0	0
ENSG00000044090	18.14440487	16.61179937
ENSG00000044115	51.13820366	64.50621126
ENSG00000044446	4.645501194	4.13886607
ENSG00000044459	0.91803278	0.654636879
ENSG00000044524	1.928212135	0.788963984
ENSG00000044574	122.7756743	358.3878184
ENSG00000046604	27.75775635	38.18788488
ENSG00000046647	7.109487774	5.348146308
ENSG00000046651	9.177117649	9.903795065
ENSG00000046653	0.5683251	0.497202026
ENSG00000046774	0	0
ENSG00000046889	0.472410693	0.930488764
ENSG00000047056	6.947779553	4.705897376
ENSG00000047188	4.07380747	2.664209253
ENSG00000047230	4.315819278	3.876972536
ENSG00000047249	10.30222217	11.48849494
ENSG00000047315	18.47423968	14.1546622
ENSG00000047346	5.246935835	4.88097874
ENSG00000047365	5.121858801	4.705217191
ENSG00000047410	18.42366037	12.53444343
ENSG00000047457	3.490267773	3.59328957
ENSG00000047578	4.063979456	3.534497801
ENSG00000047579	7.386835723	8.353398495
ENSG00000047597	0.23733031	0.354216643
ENSG00000047617	0.151353108	0.149182201
ENSG00000047621	4.278715345	2.577570962
ENSG00000047634	1.941165456	1.008416279
ENSG00000047644	8.438018888	12.22836525
ENSG00000047648	2.374847923	5.418419447
ENSG00000047662	0.024231342	0.030195927
ENSG00000047849	20.05533904	22.18691622
ENSG00000047932	12.55244451	10.15327419
ENSG00000047936	0.198123917	0
ENSG00000048028	4.974567004	3.989747229
ENSG00000048052	1.575324379	0.94338849
ENSG00000048140	9.082986867	6.085846115
ENSG00000048162	3.627448849	2.946030139
ENSG00000048342	1.798916387	1.129379392
ENSG00000048392	22.12253314	21.33447896
ENSG00000048405	3.354341385	3.802631354
ENSG00000048462	10.2763258	1.92763572
ENSG00000048471	4.431182831	2.292936432
ENSG00000048540	33.65627084	57.67178868
ENSG00000048544	16.2209037	13.03040118
ENSG00000048545	0.020563001	0
ENSG00000048649	3.99722652	4.430088883
ENSG00000048707	6.680288281	11.51319474
ENSG00000048740	10.97300058	4.319503271
ENSG00000048828	23.03103633	30.55059369
ENSG00000048991	3.331910787	2.872127051
ENSG00000049089	2.81413736	2.724332327
ENSG00000049130	1.45051542	1.029949966
